DATAFLOW,LAST UPDATE,freq,unit,geo,TIME_PERIOD,OBS_VALUE,OBS_FLAG
ESTAT:SDG_16_50(1.0),14/02/23 23:00:00,A,NR,HR,2016,49,
ESTAT:SDG_16_50(1.0),14/02/23 23:00:00,A,NR,HR,2017,49,
ESTAT:SDG_16_50(1.0),14/02/23 23:00:00,A,NR,HR,2018,48,
ESTAT:SDG_16_50(1.0),14/02/23 23:00:00,A,NR,HR,2019,47,
ESTAT:SDG_16_50(1.0),14/02/23 23:00:00,A,NR,HR,2020,47,
ESTAT:SDG_16_50(1.0),14/02/23 23:00:00,A,NR,HR,2021,47,
ESTAT:SDG_16_50(1.0),14/02/23 23:00:00,A,NR,HR,2022,50,
ESTAT:SDG_16_50(1.0),14/02/23 23:00:00,A,NR,HU,2012,55,
ESTAT:SDG_16_50(1.0),14/02/23 23:00:00,A,NR,HU,2013,54,
ESTAT:SDG_16_50(1.0),14/02/23 23:00:00,A,NR,HU,2014,54,
ESTAT:SDG_16_50(1.0),14/02/23 23:00:00,A,NR,HU,2015,51,
ESTAT:SDG_16_50(1.0),14/02/23 23:00:00,A,NR,HU,2016,48,
ESTAT:SDG_16_50(1.0),14/02/23 23:00:00,A,NR,HU,2017,45,
ESTAT:SDG_16_50(1.0),14/02/23 23:00:00,A,NR,HU,2018,46,
ESTAT:SDG_16_50(1.0),14/02/23 23:00:00,A,NR,HU,2019,44,
ESTAT:SDG_16_50(1.0),14/02/23 23:00:00,A,NR,HU,2020,44,
ESTAT:SDG_16_50(1.0),14/02/23 23:00:00,A,NR,HU,2021,43,
ESTAT:SDG_16_50(1.0),14/02/23 23:00:00,A,NR,HU,2022,42,
ESTAT:SDG_16_50(1.0),14/02/23 23:00:00,A,NR,IE,2012,69,
ESTAT:SDG_16_50(1.0),14/02/23 23:00:00,A,NR,IE,2013,72,
ESTAT:SDG_16_50(1.0),14/02/23 23:00:00,A,NR,IE,2014,74,
ESTAT:SDG_16_50(1.0),14/02/23 23:00:00,A,NR,IE,2015,75,
ESTAT:SDG_16_50(1.0),14/02/23 23:00:00,A,NR,IE,2016,73,
ESTAT:SDG_16_50(1.0),14/02/23 23:00:00,A,NR,IE,2017,74,
ESTAT:SDG_16_50(1.0),14/02/23 23:00:00,A,NR,IE,2018,73,
ESTAT:SDG_16_50(1.0),14/02/23 23:00:00,A,NR,IE,2019,74,
ESTAT:SDG_16_50(1.0),14/02/23 23:00:00,A,NR,IE,2020,72,
ESTAT:SDG_16_50(1.0),14/02/23 23:00:00,A,NR,IE,2021,74,
ESTAT:SDG_16_50(1.0),14/02/23 23:00:00,A,NR,IE,2022,77,
ESTAT:SDG_16_50(1.0),14/02/23 23:00:00,A,NR,IS,2012,82,
ESTAT:SDG_16_50(1.0),14/02/23 23:00:00,A,NR,IS,2013,78,
ESTAT:SDG_16_50(1.0),14/02/23 23:00:00,A,NR,IS,2014,79,
ESTAT:SDG_16_50(1.0),14/02/23 23:00:00,A,NR,IS,2015,79,
ESTAT:SDG_16_50(1.0),14/02/23 23:00:00,A,NR,IS,2016,78,
ESTAT:SDG_16_50(1.0),14/02/23 23:00:00,A,NR,IS,2017,77,
ESTAT:SDG_16_50(1.0),14/02/23 23:00:00,A,NR,IS,2018,76,
ESTAT:SDG_16_50(1.0),14/02/23 23:00:00,A,NR,IS,2019,78,
ESTAT:SDG_16_50(1.0),14/02/23 23:00:00,A,NR,IS,2020,75,
ESTAT:SDG_16_50(1.0),14/02/23 23:00:00,A,NR,IS,2021,74,
ESTAT:SDG_16_50(1.0),14/02/23 23:00:00,A,NR,IS,2022,74,
ESTAT:SDG_16_50(1.0),14/02/23 23:00:00,A,NR,IT,2012,42,
ESTAT:SDG_16_50(1.0),14/02/23 23:00:00,A,NR,IT,2013,43,
ESTAT:SDG_16_50(1.0),14/02/23 23:00:00,A,NR,IT,2014,43,
ESTAT:SDG_16_50(1.0),14/02/23 23:00:00,A,NR,IT,2015,44,
ESTAT:SDG_16_50(1.0),14/02/23 23:00:00,A,NR,IT,2016,47,
ESTAT:SDG_16_50(1.0),14/02/23 23:00:00,A,NR,IT,2017,50,
ESTAT:SDG_16_50(1.0),14/02/23 23:00:00,A,NR,IT,2018,52,
ESTAT:SDG_16_50(1.0),14/02/23 23:00:00,A,NR,IT,2019,53,
ESTAT:SDG_16_50(1.0),14/02/23 23:00:00,A,NR,IT,2020,53,
ESTAT:SDG_16_50(1.0),14/02/23 23:00:00,A,NR,IT,2021,56,
ESTAT:SDG_16_50(1.0),14/02/23 23:00:00,A,NR,IT,2022,56,
ESTAT:SDG_16_50(1.0),14/02/23 23:00:00,A,NR,JP,2012,74,
ESTAT:SDG_16_50(1.0),14/02/23 23:00:00,A,NR,JP,2013,74,
ESTAT:SDG_16_50(1.0),14/02/23 23:00:00,A,NR,JP,2014,76,
ESTAT:SDG_16_50(1.0),14/02/23 23:00:00,A,NR,JP,2015,75,
ESTAT:SDG_16_50(1.0),14/02/23 23:00:00,A,NR,JP,2016,72,
ESTAT:SDG_16_50(1.0),14/02/23 23:00:00,A,NR,JP,2017,73,
ESTAT:SDG_16_50(1.0),14/02/23 23:00:00,A,NR,JP,2018,73,
ESTAT:SDG_16_50(1.0),14/02/23 23:00:00,A,NR,JP,2019,73,
ESTAT:SDG_16_50(1.0),14/02/23 23:00:00,A,NR,JP,2020,74,
ESTAT:SDG_16_50(1.0),14/02/23 23:00:00,A,NR,JP,2021,73,
ESTAT:SDG_16_50(1.0),14/02/23 23:00:00,A,NR,JP,2022,73,
ESTAT:SDG_16_50(1.0),14/02/23 23:00:00,A,NR,KR,2012,56,
ESTAT:SDG_16_50(1.0),14/02/23 23:00:00,A,NR,KR,2013,55,
ESTAT:SDG_16_50(1.0),14/02/23 23:00:00,A,NR,KR,2014,55,
ESTAT:SDG_16_50(1.0),14/02/23 23:00:00,A,NR,KR,2015,54,
ESTAT:SDG_16_50(1.0),14/02/23 23:00:00,A,NR,KR,2016,53,
ESTAT:SDG_16_50(1.0),14/02/23 23:00:00,A,NR,KR,2017,54,
ESTAT:SDG_16_50(1.0),14/02/23 23:00:00,A,NR,KR,2018,57,
ESTAT:SDG_16_50(1.0),14/02/23 23:00:00,A,NR,KR,2019,59,
ESTAT:SDG_16_50(1.0),14/02/23 23:00:00,A,NR,KR,2020,61,
ESTAT:SDG_16_50(1.0),14/02/23 23:00:00,A,NR,KR,2021,62,
ESTAT:SDG_16_50(1.0),14/02/23 23:00:00,A,NR,KR,2022,63,
ESTAT:SDG_16_50(1.0),14/02/23 23:00:00,A,NR,LT,2012,54,
ESTAT:SDG_16_50(1.0),14/02/23 23:00:00,A,NR,LT,2013,57,
ESTAT:SDG_16_50(1.0),14/02/23 23:00:00,A,NR,LT,2014,58,
ESTAT:SDG_16_50(1.0),14/02/23 23:00:00,A,NR,LT,2015,59,
ESTAT:SDG_16_50(1.0),14/02/23 23:00:00,A,NR,LT,2016,59,
ESTAT:SDG_16_50(1.0),14/02/23 23:00:00,A,NR,LT,2017,59,
ESTAT:SDG_16_50(1.0),14/02/23 23:00:00,A,NR,LT,2018,59,
ESTAT:SDG_16_50(1.0),14/02/23 23:00:00,A,NR,LT,2019,60,
ESTAT:SDG_16_50(1.0),14/02/23 23:00:00,A,NR,LT,2020,60,
ESTAT:SDG_16_50(1.0),14/02/23 23:00:00,A,NR,LT,2021,61,
ESTAT:SDG_16_50(1.0),14/02/23 23:00:00,A,NR,LT,2022,62,
ESTAT:SDG_16_50(1.0),14/02/23 23:00:00,A,NR,LU,2012,80,
ESTAT:SDG_16_50(1.0),14/02/23 23:00:00,A,NR,LU,2013,80,
ESTAT:SDG_16_50(1.0),14/02/23 23:00:00,A,NR,LU,2014,82,
ESTAT:SDG_16_50(1.0),14/02/23 23:00:00,A,NR,LU,2015,85,
ESTAT:SDG_16_50(1.0),14/02/23 23:00:00,A,NR,LU,2016,81,
ESTAT:SDG_16_50(1.0),14/02/23 23:00:00,A,NR,LU,2017,82,
ESTAT:SDG_16_50(1.0),14/02/23 23:00:00,A,NR,LU,2018,81,
ESTAT:SDG_16_50(1.0),14/02/23 23:00:00,A,NR,LU,2019,80,
ESTAT:SDG_16_50(1.0),14/02/23 23:00:00,A,NR,LU,2020,80,
ESTAT:SDG_16_50(1.0),14/02/23 23:00:00,A,NR,LU,2021,81,
ESTAT:SDG_16_50(1.0),14/02/23 23:00:00,A,NR,LU,2022,77,
ESTAT:SDG_16_50(1.0),14/02/23 23:00:00,A,NR,LV,2012,49,
ESTAT:SDG_16_50(1.0),14/02/23 23:00:00,A,NR,LV,2013,53,
ESTAT:SDG_16_50(1.0),14/02/23 23:00:00,A,NR,LV,2014,55,
ESTAT:SDG_16_50(1.0),14/02/23 23:00:00,A,NR,LV,2015,56,
ESTAT:SDG_16_50(1.0),14/02/23 23:00:00,A,NR,LV,2016,57,
ESTAT:SDG_16_50(1.0),14/02/23 23:00:00,A,NR,LV,2017,58,
ESTAT:SDG_16_50(1.0),14/02/23 23:00:00,A,NR,LV,2018,58,
ESTAT:SDG_16_50(1.0),14/02/23 23:00:00,A,NR,LV,2019,56,
ESTAT:SDG_16_50(1.0),14/02/23 23:00:00,A,NR,LV,2020,57,
ESTAT:SDG_16_50(1.0),14/02/23 23:00:00,A,NR,LV,2021,59,
ESTAT:SDG_16_50(1.0),14/02/23 23:00:00,A,NR,LV,2022,59,
ESTAT:SDG_16_50(1.0),14/02/23 23:00:00,A,NR,ME,2012,41,
ESTAT:SDG_16_50(1.0),14/02/23 23:00:00,A,NR,ME,2013,44,
ESTAT:SDG_16_50(1.0),14/02/23 23:00:00,A,NR,ME,2014,42,
ESTAT:SDG_16_50(1.0),14/02/23 23:00:00,A,NR,ME,2015,44,
ESTAT:SDG_16_50(1.0),14/02/23 23:00:00,A,NR,ME,2016,45,
ESTAT:SDG_16_50(1.0),14/02/23 23:00:00,A,NR,ME,2017,46,
ESTAT:SDG_16_50(1.0),14/02/23 23:00:00,A,NR,ME,2018,45,
ESTAT:SDG_16_50(1.0),14/02/23 23:00:00,A,NR,ME,2019,45,
